term,estimate,std.error,conf.low,conf.high,parameter,population
E.alpha.cm,0.13159743837214624,0.06017779146646604,0.03469960822988992,0.23803405686699164,alpha.cm,all
E.n,1.4713926085342999,0.09660029542734926,1.3169516865553512,1.6676145616653317,n,all
E.theta.r,0.029064505995330482,0.010972825912676596,0.010029051542052286,0.050326147501035666,theta.r,all
alpha.cm[1],0.13437599087596538,0.06191006894573167,0.046209629442453305,0.25124315242363493,alpha.cm,CCR
alpha.cm[2],0.22962315964901306,0.15535707846788918,0.06399668943039429,0.48783941113325513,alpha.cm,JLA
alpha.cm[3],0.0555518498447093,0.014031168019010736,0.032720246841737625,0.0841708642373576,alpha.cm,NRV
alpha.cm[4],0.2877994976828699,0.25940828268789196,0.07568388434344551,0.6270028831767067,alpha.cm,TSZ
n[1],1.4926648911942728,0.08819728104092939,1.339092353317832,1.67181185785509,n,CCR
n[2],1.4412033621790308,0.0828055755089932,1.2907784752628952,1.6076791117492806,n,JLA
n[3],1.4965351642554172,0.07382178114992034,1.359847831224594,1.640467230281751,n,NRV
n[4],1.442995388400063,0.08259971418883835,1.2883384601064192,1.599736318308343,n,TSZ
theta.r[1],0.028654165849841724,0.011196610246572819,0.009375823811807026,0.050856299931987245,theta.r,CCR
theta.r[2],0.029661460173896505,0.011597759475953177,0.010385810511903537,0.053104766615798694,theta.r,JLA
theta.r[3],0.028346288003941487,0.011234713654936378,0.009127199200738905,0.050398280290718606,theta.r,NRV
theta.r[4],0.029925827558346076,0.011932957879624013,0.009259070023505723,0.05325018473059427,theta.r,TSZ
